municipality,total_crashes,total_victims,crashes_per_100k,victims_per_100k,population
ARMSTRONG,1654,309,28625.82208376601,5347.871235721703,5778
ASHCROFT,445,87,25692.84064665127,5023.094688221709,1732
BARRIERE,684,118,35403.72670807454,6107.660455486543,1932
CACHE CREEK,851,162,80056.44402634054,15239.887111947319,1063
CANAL FLATS,267,23,30067.567567567567,2590.09009009009,888
CASTLEGAR,2793,545,30246.913580246914,5902.100931340698,9234
CHASE,890,194,34008.40657241116,7413.068398930072,2617
CLEARWATER,692,115,27757.721620537504,4612.916165262735,2493
COLDSTREAM,1131,219,9793.903706269484,1896.4322826463456,11548
CRANBROOK,6854,894,30167.25352112676,3934.8591549295775,22720
CRESTON,1967,226,31787.33031674208,3652.2301228183583,6188
ELKFORD,397,52,13563.375469764263,1776.563033823027,2927
ENDERBY,1509,387,46189.16437098255,11845.73002754821,3267
FERNIE,1503,118,21585.52348125808,1694.6718368519316,6963
FRUITVALE,492,70,23895.09470616804,3399.7085964060225,2059
GOLDEN,1715,281,38906.533575317604,6374.7731397459165,4408
GRAND FORKS,1624,222,37864.30403357426,5176.031709023082,4289
GREENWOOD,265,52,36005.434782608696,7065.217391304348,736
INVERMERE,1041,105,24102.801574438527,2431.118314424635,4319
KAMLOOPS,29023,6079,26474.07596599409,5545.1162111869235,109628
KASLO,306,50,26889.279437609843,4393.673110720562,1138
KELOWNA,45060,11478,27274.378064281824,6947.521336480842,165210
KEREMEOS,785,134,44002.242152466366,7511.210762331839,1784
KIMBERLEY,1524,125,16912.66230163134,1387.1934302519144,9011
LAKE COUNTRY,3412,754,19498.257043259615,4308.817646722669,17499
LILLOOET,1279,210,59571.495109455056,9781.089892873777,2147
LOGAN LAKE,632,124,27241.379310344826,5344.827586206897,2320
LUMBY,1001,168,44469.124833407375,7463.349622390049,2251
LYTTON,414,77,176923.07692307694,32905.982905982906,234
MERRITT,4345,1280,59725.085910652924,17594.501718213058,7275
MIDWAY,219,27,32589.285714285714,4017.8571428571427,672
MONTROSE,120,20,11246.485473289596,1874.414245548266,1067
NAKUSP,749,113,42702.39452679589,6442.417331812999,1754
NELSON,4632,627,37527.34343352507,5079.802317102812,12343
NEW DENVER,187,36,35349.71644612477,6805.2930056710775,529
OLIVER,2380,386,45135.596434667175,7320.3110183956005,5273
OSOYOOS,2118,306,36924.686192468616,5334.728033472803,5736
PEACHLAND,1540,448,24850.734226238503,7229.304502178474,6197
PENTICTON,11033,1851,28542.232570172033,4788.5137757081875,38655
PRINCETON,2081,477,64248.22476072862,14726.767520839765,3239
RADIUM HOT SPRINGS,492,74,33020.13422818792,4966.442953020134,1490
REVELSTOKE,2738,449,29822.45942707766,4890.534800130705,9181
ROSSLAND,772,77,17714.5479577788,1766.8655346489215,4358
SALMO,580,122,47001.62074554295,9886.547811993518,1234
SALMON ARM,5197,1050,25209.798690274074,5093.378607809847,20615
SICAMOUS,803,203,28314.527503526093,7157.968970380818,2836
SILVERTON,59,12,28229.665071770334,5741.626794258374,209
SLOCAN,172,22,42053.78973105134,5378.973105134474,409
SPALLUMCHEEN,301,140,5202.212236432769,2419.6335983408226,5786
SPARWOOD,838,154,18920.749604876946,3477.082862948747,4429
SUMMERLAND,2353,359,18836.055075248158,2873.83925712456,12492
TRAIL,2506,356,29826.23184955963,4237.086407998096,8402
VERNON,16107,3283,32759.777899810848,6677.24286615006,49167
WARFIELD,73,14,4128.959276018099,791.8552036199095,1768
WEST KELOWNA,10366,2598,25854.242530054373,6479.772534543822,40094
