region,municipality,total
1003,ELKFORD,2927
1006,SPARWOOD,4429
1012,FERNIE,6963
1022,CRANBROOK,22720
1028,KIMBERLEY,9011
1039,INVERMERE,4319
1040,RADIUM HOT SPRINGS,1490
1043,CANAL FLATS,888
3004,CRESTON,6188
3011,SALMO,1234
3015,NELSON,12343
3019,SLOCAN,409
3023,KASLO,1138
3027,SILVERTON,209
3032,NEW DENVER,529
3045,CASTLEGAR,9234
3050,NAKUSP,1754
5005,FRUITVALE,2059
5009,MONTROSE,1067
5014,TRAIL,8402
5018,WARFIELD,1768
5023,ROSSLAND,4358
5032,GRAND FORKS,4289
5037,MIDWAY,672
5042,GREENWOOD,736
7005,OSOYOOS,5736
7009,KEREMEOS,1784
7014,OLIVER,5273
7024,PRINCETON,3239
7035,SUMMERLAND,12492
7041,PENTICTON,38655
31026,LILLOOET,2147
33006,MERRITT,7275
33015,LYTTON,234
33019,ASHCROFT,1732
33024,CACHE CREEK,1063
33035,LOGAN LAKE,2320
33042,KAMLOOPS,109628
33054,CHASE,2617
33067,CLEARWATER,2493
33074,BARRIERE,1932
35010,KELOWNA,165210
35016,LAKE COUNTRY,17499
35018,PEACHLAND,6197
35029,WEST KELOWNA,40094
37005,LUMBY,2251
37010,COLDSTREAM,11548
37014,VERNON,49167
37024,SPALLUMCHEEN,5786
37028,ARMSTRONG,5778
37033,ENDERBY,3267
39007,GOLDEN,4408
39019,REVELSTOKE,9181
39032,SALMON ARM,20615
39045,SICAMOUS,2836
